Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Philippines,PHL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,12.956838354491,5.81693355937276,1.99417609680252,2.0610633590687,3.05305530085906,-0.719682789735927,1.28031174373962,2.32025994608939,3.74065383022071,0.697076297206081,1.65049018725576,2.29343628428435
Philippines,PHL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,19.1598428879723,13.9410943909385,13.0958070106782,12.4734251044125,12.2716816211446,10.9964991548623,10.2051255325616,10.1829541314109,9.65014035815306,8.82032374710178,10.1853110319109,10.0684567208235
Philippines,PHL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,38.1686200962155,34.9752844865482,31.3994933632444,30.7754466314331,31.0474444753394,30.4819509834967,30.2859171672694,30.1265505767725,30.5637401548214,30.3275078795163,28.3999175850466,28.8863804295193
Philippines,PHL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.3932131437876,43.3442192873228,27.4670738577233,26.1774198090007,27.3545041909285,27.2080572390451,26.6730033435157,29.5522908546692,30.2136053733275,28.382920012841,25.2028393100072,25.7422838908874
Philippines,PHL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,23.5291431442704,41.8091492970411,30.3749316555848,29.6473614230291,30.113667896666,31.9335348662643,35.1030624218713,38.6160788880035,41.9497929256998,40.4589222467353,32.9667209917927,37.7592870541554
Philippines,PHL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.3317105849887,15.6843641808609,19.5607279687897,20.642224107669,20.9239704373705,21.3409478711064,24.618503101685,25.5587738639602,27.1505820415621,26.4018084648625,17.4333790280452,21.1837552916166
Philippines,PHL,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,14.184102561312,13.9834791422508,13.8032343791337,14.2155505906419,14.4354568990067,14.6770502818935,14.5097320228406,14.93213807295,15.518451436483,16.0691583520806,15.9052544996365,..
Philippines,PHL,Time required to start a business (days),IC.REG.DURS,..,..,28,28,26,25,25,39,34,33,..,..
Philippines,PHL,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,82.339064166717,82.855001631701,86.4934521337193,100.274913881896,..
Philippines,PHL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.3546103589205,12.4403247745092,12.3059271151495,12.7438220628562,13.0155171797493,13.0196105917208,13.0871006913218,13.5937937490496,14.0475332790366,14.4884730214875,13.9509857073673,..
Philippines,PHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.14724666740931,1.60822662086796,1.10670418975985,1.18950172893764,1.04312706559466,1.08846303958172,1.04558514673889,1.24707707471824,0.819584673820235,0.920263121580689,1.01242392260698,1.03784746356299
Philippines,PHL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,8.27925362,104.0252318,103.1328562,109.8700461,114.3710694,114.5140314,112.3979818,123.9757392,151.5865313,133.3257005,143.4358742
Philippines,PHL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,60.3175183973259,61.3457937235456,62.2465836635435,67.044883218278,64.2252528933283
Philippines,PHL,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,83.3333333333333,84.4444444444444,77.7777777777778,82.2222,82.2222,82.2222,81.1111333333333,81.1111333333333,82.2222333333333,..
Philippines,PHL,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,41.8169005610552,89.7636847683343,45.0285470283577,43.1263907712654,43.9708794611795,43.5890625758745,44.6440842989845,51.9406203119544,52.6484538833798,48.628365184825,42.747069196311,50.4975557158504
Philippines,PHL,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,87.36842105,100,74.96062186,73.519289,76.75187217,82.16603765,82.95317295,81.27652364,78.25050446,79.15322693,82.02161155,..
Philippines,PHL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,30579850826.6,58445298798.4,69363025733.1,66191184711.5,77168094842.1,76269543901.6,74750940393,73105675383,78967285429.7,83625343901,98493687902.6,106427962609.9
Philippines,PHL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,27.5548707184526,22.9442112838913,7.60285172694117,7.71590539116069,8.96241856196894,12.9360985496189,13.1673522027379,11.5275638476417,8.60748699104734,9.81679996130702,10.225292328653,12.240430095416
Philippines,PHL,Net migration,SM.POP.NETM,-149089,-122971,-156051,-199869,-237890,6954,79051,36111,-15371,-24066,-41937,-80125
Philippines,PHL,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1465000000,6924000000,24609679612.7445,26716840269.1056,28690797896.4984,29799395699.8779,31141973475.3294,32809770433.9087,33808967986.2666,35167471832.1845,34882844550.0776,36685313168.0481
Philippines,PHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,530000000,1487000000,3215415155.43567,3737371739.84519,5739574024.13183,5639155961.87389,8279548274.88501,10256442398.8834,9948598823.96867,8671365873.65689,6822133290.81919,12412629007.4413
Philippines,PHL,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1143089965.82031,552799987.792969,-3369999.88555908,192059997.558594,677440002.441406,514950012.207031,283649993.896484,160479995.727539,547400024.414063,886270019.53125,1456239990.23438,1632449951.17188
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/30/2023,,,,,,,,,,,,,,,
