Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
88,Venezuela,"552,593",,"5,856",,"546,479",258,31,"18,881",200,"3,359,014","114,771","29,266,991"
89,Egypt,"515,970",,"24,613",,"442,182","49,175",122,"4,860",232,"3,693,367","34,792","106,156,692"
90,Libya,"507,250",,"6,437",,"500,807",6,,"72,045",914,"2,483,848","352,782","7,040,745"
91,Qatar,"506,323",,690,,"504,400","1,233",44,"169,912",232,"4,065,369","1,364,257","2,979,915"
92,Ethiopia,"500,817",,"7,574",,"487,936","5,307",1,"4,145",63,"5,538,219","45,841","120,812,698"
93,Réunion,"486,588",,921,,"418,572","67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061"
94,Honduras,"472,533",,"11,112",,N/A,N/A,105,"46,230","1,087","1,652,947","161,717","10,221,247"
95,Armenia,"448,980",,"8,746",,"435,162","5,072",,"151,072","2,943","3,242,901","1,091,164","2,971,966"
96,Bosnia and Herzegovina,"402,804",,"16,336",,"379,084","7,384",,"123,966","5,028","1,884,721","580,036","3,249,317"
97,Oman,"399,449",,"4,628",,"384,669","10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993"
98,North Macedonia,"348,057",,"9,672",,"337,068","1,317",,"167,230","4,647","2,226,216","1,069,626","2,081,304"
99,Zambia,"343,887",,"4,058",,"339,777",52,,"17,662",208,"4,026,977","206,827","19,470,234"
100,Kenya,"343,035",,"5,688",,"337,305",42,1,"6,102",101,"3,967,062","70,569","56,215,221"
101,Albania,"334,726",,"3,602",,"329,428","1,696",,"116,777","1,257","1,941,032","677,173","2,866,374"
103,Luxembourg,"297,757",,"1,133",,"288,991","7,633",,"463,528","1,764","4,412,567","6,869,188","642,371"
104,Montenegro,"291,366",40,"2,824",,"287,880",662,6,"463,996","4,497","2,747,088","4,374,692","627,950"
105,Brunei,"285,740",,225,,"243,601","41,914",3,"641,491",505,"717,784","1,611,437","445,431"
106,Algeria,"271,697",9,"6,881",,"182,947","81,869",,"5,991",152,"230,861","5,091","45,350,148"
107,Nigeria,"266,675",,"3,155",,"259,953","3,567",11,"1,230",15,"5,708,974","26,339","216,746,934"
108,Zimbabwe,"264,639",,"5,686",,"258,888",65,12,"17,261",371,"2,525,756","164,744","15,331,428"
109,Uzbekistan,"252,725",,"1,637",,"241,486","9,602",23,"7,350",48,"1,377,915","40,077","34,382,084"
110,Mozambique,"233,334",,"2,242",,"228,805","2,287",11,"7,052",68,"1,371,127","41,437","33,089,461"
111,Martinique,"229,807",,"1,098",,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087"
112,Laos,"218,071",1,758,,N/A,N/A,,"29,150",101,"1,233,207","164,845","7,481,023"
113,Afghanistan,"214,581",156,"7,896",,"193,470","13,215",45,"5,265",194,"1,231,972","30,229","40,754,388"
114,Iceland,"209,191",,229,,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393"
115,Kyrgyzstan,"206,876",,"2,991",,"196,406","7,479",131,"30,747",445,"1,907,195","283,460","6,728,271"
116,Guadeloupe,"202,482",,"1,017",,N/A,N/A,19,"506,466","2,544","938,039","2,346,306","399,794"
117,El Salvador,"201,785",,"4,230",,"179,410","18,145",8,"30,805",646,"2,610,114","398,467","6,550,389"
118,Trinidad and Tobago,"191,350",,"4,387",,"186,918",45,8,"136,039","3,119","911,009","647,674","1,406,585"
119,Maldives,"186,241",,313,,"163,687","22,241",25,"344,263",579,"2,213,831","4,092,223","540,985"
120,Ghana,"171,657",,"1,462",,"170,161",34,2,"5,299",45,"2,536,496","78,298","32,395,450"
121,Namibia,"171,222",,"4,090",,"167,099",33,,"65,008","1,553","1,062,663","403,460","2,633,874"
122,Uganda,"170,647",,"3,632",,"100,431","66,584",3,"3,523",75,"3,012,408","62,198","48,432,863"
123,Jamaica,"154,786",,"3,536",,"102,803","48,447",,"51,853","1,185","1,183,986","396,633","2,985,094"
124,Cambodia,"138,732",1,"3,056",,"135,670",6,,"8,081",178,"3,091,420","180,062","17,168,639"
125,Rwanda,"133,194",,"1,468",,"131,647",79,,"9,793",108,"6,021,981","442,778","13,600,464"
126,Cameroon,"124,895",,"1,971",,"122,807",117,13,"4,475",71,"1,751,774","62,762","27,911,548"
127,Malta,"118,441",,835,,"116,962",644,4,"266,739","1,880","2,133,928","4,805,787","444,033"
128,Barbados,"107,466",,588,,"106,869",9,,"373,116","2,042","800,831","2,780,441","288,023"
129,Angola,"105,384",,"1,934",,"103,419",31,,"3,009",55,"1,499,795","42,818","35,027,343"
130,Channel Islands,"101,717",,228,,"101,321",168,,"576,421","1,292","1,252,808","7,099,551","176,463"
131,French Guiana,"98,041",,420,,"11,254","86,367",6,"312,065","1,337","651,257","2,072,951","314,169"
132,DRC,"95,945",,"1,464",,"84,489","9,992",,"1,007",15,"846,704","8,890","95,240,792"
133,Senegal,"88,995",,"1,971",,"87,022",2,,"5,041",112,"1,146,543","64,946","17,653,671"
134,Malawi,"88,722",,"2,686",,"85,644",392,67,"4,396",133,"624,784","30,959","20,180,839"
135,Ivory Coast,"88,323",,834,,"87,483",6,,"3,184",30,"1,688,469","60,863","27,742,298"
136,Suriname,"82,495",,"1,404",,N/A,N/A,,"138,222","2,352","241,666","404,915","596,831"
137,New Caledonia,"79,922",,314,,"79,605",3,9,"274,726","1,079","98,964","340,182","290,915"
138,French Polynesia,"78,417",,649,,N/A,N/A,7,"275,957","2,284",,,"284,164"
139,Eswatini,"74,627",,"1,425",,"73,116",86,,"62,986","1,203","1,048,704","885,119","1,184,817"
140,Guyana,"73,140",,"1,298",,"71,824",18,,"92,111","1,635","727,968","916,784","794,045"
141,Belize,"70,782",,688,,"70,085",9,6,"171,722","1,669","576,016","1,397,453","412,190"
142,Fiji,"68,918",,883,,"67,026","1,009",,"75,779",971,"670,477","737,221","909,466"
143,Madagascar,"68,211",,"1,424",,"66,753",34,,"2,338",49,"530,005","18,164","29,178,077"
144,Sudan,"63,993",,"5,046",,"58,640",307,,"1,391",110,"562,941","12,240","45,992,020"
145,Mauritania,"63,715",,997,,"62,471",247,,"12,998",203,"1,009,957","206,030","4,901,981"
146,Cabo Verde,"63,423",,413,,"62,859",151,23,"111,724",728,"401,622","707,482","567,678"
147,Bhutan,"62,663",,21,,"61,564","1,078",,"79,528",27,"2,303,734","2,923,739","787,941"
149,Burundi,"53,731",,38,,"53,569",124,,"4,256",3,"345,742","27,386","12,624,840"
150,Seychelles,"50,937",,172,,"50,750",15,,"512,311","1,730",,,"99,426"
151,Gabon,"48,981",,306,,"48,674",1,,"21,008",131,"1,621,909","695,641","2,331,533"
152,Andorra,"47,945",,165,,"47,563",217,14,"618,941","2,130","249,838","3,225,256","77,463"
153,Papua New Guinea,"46,838",,670,,"43,982","2,186",7,"5,041",72,"249,149","26,813","9,292,169"
154,Curaçao,"45,986",,295,,"44,720",971,3,"277,812","1,782","496,693","3,000,640","165,529"
155,Aruba,"44,114",,236,,"42,438","1,440",2,"409,947","2,193","177,885","1,653,068","107,609"
156,Tanzania,"42,973",,846,,N/A,N/A,7,679,13,,,"63,298,550"
157,Mauritius,"42,048",,"1,043",,"40,287",718,,"32,986",818,"358,675","281,374","1,274,727"
158,Mayotte,"42,027",,188,,N/A,N/A,,"146,815",657,"176,919","618,038","286,259"
159,Togo,"39,477",,290,,"39,174",13,,"4,548",33,"810,736","93,394","8,680,837"
160,Guinea,"38,462",,467,,"37,757",238,8,"2,774",34,"660,107","47,607","13,865,691"
161,Bahamas,"38,084",,844,,"36,366",874,1,"95,087","2,107","257,839","643,767","400,516"
